Frequency Spectrum for Input Signal

Data Shown:    DBR12 (YAMAHA)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 90°  

Freq [Hz]	Signal Level [dBSPL]
22.4	34.3
23	34.8
23.6	35.2
24	35.2
25	35
25.8	34.4
26.5	33.2
27.2	31.1
28	27.8
29	26.4
30	31.3
30.7	36.2
31.5	39.9
32.5	42.8
33.5	45.3
34.5	47.4
35.5	49.2
36.5	51
37.5	52.7
38.7	54.3
40	55.9
41.2	57.6
42.5	59.3
43.7	60.9
45	62.6
46.2	64.2
47.5	65.7
48.7	67.2
50	68.6
51.5	70
53	71.3
54.5	72.5
56	73.7
58	74.8
60	75.8
61.5	76.8
63	77.7
65	78.5
67	79.3
69	80
71	80.6
73	81.2
75	81.6
77.5	82
80	82.3
82.5	82.6
85	82.8
87.5	83
90	83.1
92.5	83.2
95	83.3
97.5	83.3
100	83.2
103	83.1
106	83
109	82.9
112	82.8
115	82.7
118	82.7
122	82.5
125	82.3
128	82
132	81.9
136	81.9
140	81.9
145	81.8
150	81.5
155	81.2
160	81
165	81
170	80.9
175	80.7
180	80.3
185	80.1
190	80.2
195	80.3
200	80.1
206	79.7
212	79.3
218	78.6
224	77.6
230	77.2
236	78.2
240	79.5
250	80.4
258	80.6
265	80.3
272	79.6
280	79.4
290	79
300	78.4
307	77.9
315	77
325	75.9
335	75.2
345	74.1
355	72.9
365	71.7
375	70.7
387	70.3
400	69.6
412	68.6
425	68.1
437	68.4
450	69.3
462	70.2
475	70.9
487	71.6
500	73.8
515	74.8
530	75.1
545	75.2
560	75.7
580	75.7
600	75.8
615	76.2
630	76.3
650	76.3
670	75.8
690	75.6
710	74.7
730	73.3
750	72.5
775	72.3
800	71.9
825	71.2
850	70.8
875	70.4
900	69
925	68.5
950	68.1
975	68.3
1000	68.8
1030	69.6
1060	71.1
1090	72.5
1120	73.5
1150	73.6
1180	73.6
1220	73.4
1250	70.2
1280	63.5
1320	65
1360	65
1400	63.2
1450	62.1
1500	60.3
1550	57.4
1600	56.7
1650	62.7
1700	64.5
1750	64.5
1800	61.2
1850	59.2
1900	61.3
1950	63.5
2000	63.9
2060	63.9
2120	65.7
2180	68.7
2240	69
2300	67.1
2360	65.8
2400	64.3
2500	61.4
2580	56.8
2650	58.6
2720	61.8
2800	64.2
2900	65
3000	65.8
3070	66.2
3150	66.9
3250	67.1
3350	67
3450	67.8
3550	67.1
3650	62.7
3750	60.4
3870	56.2
4000	55.2
4120	55.4
4250	54.9
4370	44.3
4500	56.1
4620	62.2
4750	64.7
4870	64.5
5000	63.6
5150	61.8
5300	58.8
5450	59.2
5600	56.7
5800	51.4
6000	52.4
6150	58.1
6300	60.4
6500	60.6
6700	60.9
6900	60
7100	55.3
7300	44.3
7500	50.1
7750	57.1
8000	56.6
8250	50.1
8500	51.7
8750	52.5
9000	52.4
9250	55.8
9500	58
9750	59.8
10000	58.1
10300	60
10600	59.9
10900	61.5
11200	60.6
11500	58.7
11800	63.5
12200	63.3
12500	59.9
12800	60.1
13200	56.6
13600	58.1
14000	64.1
14500	60.3
15000	58.1
15500	59.5
16000	54.1
16500	54.7
17000	59
17500	52.6
18000	48.1
18500	53.3
19000	54.3
19500	43.6
20000	47.2
20600	39.7
21200	44.3
21800	44.9
22400	33.3
