Frequency Spectrum for Input Signal

Data Shown:    DBR15 (YAMAHA)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 60°

Freq [Hz]	Signal Level [dBSPL]
22.4	39.7
23	41.3
23.6	42.8
24	44.3
25	45.8
25.8	47.3
26.5	48.8
27.2	50.3
28	51.8
29	53.4
30	54.9
30.7	56.4
31.5	58
32.5	59.6
33.5	61.1
34.5	62.7
35.5	64.2
36.5	65.8
37.5	67.3
38.7	68.8
40	70.3
41.2	71.8
42.5	73.3
43.7	74.7
45	76.1
46.2	77.5
47.5	78.9
48.7	80.2
50	81.5
51.5	82.8
53	84
54.5	85.2
56	86.3
58	87.3
60	88.2
61.5	89.1
63	89.8
65	90.5
67	91.1
69	91.6
71	91.9
73	92.2
75	92.3
77.5	92.4
80	92.3
82.5	92.2
85	92
87.5	91.9
90	91.7
92.5	91.6
95	91.5
97.5	91.4
100	91.3
103	91.2
106	91.1
109	91
112	91
115	91
118	90.9
122	90.8
125	90.6
128	90.3
132	90.1
136	90
140	89.8
145	89.6
150	89.2
155	88.7
160	88.3
165	88.1
170	87.8
175	87.4
180	86.8
185	86.4
190	86.2
195	86.3
200	86.4
206	86.5
212	86.6
218	86.7
224	87.4
230	88.6
236	89.4
240	89.5
250	89.2
258	88.9
265	88.7
272	88.2
280	87.9
290	87.4
300	87
307	86.8
315	86.2
325	85.5
335	84.9
345	83.9
355	83.4
365	83.2
375	82.9
387	82.7
400	83.3
412	84.3
425	84.7
437	84.7
450	84.5
462	84
475	83.7
487	83.9
500	84.2
515	83.8
530	83.5
545	83.2
560	83
580	83
600	84.3
615	85.3
630	84.9
650	83.7
670	82.7
690	81.6
710	80.6
730	79.4
750	77.2
775	77.2
800	80.4
825	82.4
850	83.2
875	83.5
900	82.5
925	80.2
950	79.6
975	80.1
1000	81.1
1030	82.3
1060	81.9
1090	83.2
1120	84.7
1150	84.4
1180	81
1220	80
1250	78.9
1280	77.4
1320	74.3
1360	74.2
1400	72.9
1450	70.1
1500	67.5
1550	72.6
1600	74.7
1650	71.1
1700	62.4
1750	70.7
1800	68.5
1850	61.4
1900	63.4
1950	67.7
2000	67.4
2060	72.1
2120	77
2180	79.1
2240	78
2300	77
2360	74.9
2400	74.5
2500	74.2
2580	73.7
2650	72.6
2720	66.5
2800	71.3
2900	76.6
3000	79.3
3070	74.2
3150	76.1
3250	76.3
3350	69.1
3450	66.8
3550	72.6
3650	71.5
3750	75.1
3870	75.3
4000	75.9
4120	75.6
4250	73.1
4370	72.4
4500	73.7
4620	63.8
4750	60.4
4870	69.9
5000	71.3
5150	70.9
5300	70.4
5450	75.3
5600	75.4
5800	78
6000	76.8
6150	75.2
6300	66.1
6500	65.5
6700	71.8
6900	71.9
7100	70.8
7300	69.9
7500	72.8
7750	75.4
8000	71.1
8250	63.5
8500	75
8750	76.9
9000	74.7
9250	71
9500	71.5
9750	73.1
10000	69.9
10300	73.4
10600	78.9
10900	77.9
11200	68.4
11500	72.2
11800	72.2
12200	79.2
12500	72.7
12800	68.4
13200	72.6
13600	76.7
14000	86.8
14500	76.5
15000	78.6
15500	71.9
16000	77.5
16500	76.8
17000	78.4
17500	72.4
18000	63.1
18500	65.7
19000	71.8
19500	60.8
20000	67.8
20600	64.4
21200	57.3
21800	51.5
22400	53.3
