Frequency Spectrum for Input Signal

Data Shown:    DXR12 (YAMAHA)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 120°  

Freq [Hz]	Signal Level [dBSPL]
22.4	21.5
23	23.4
23.6	25.3
24	27.2
25	29
25.8	30.8
26.5	32.6
27.2	34.4
28	36.1
29	37.8
30	39.6
30.7	41.5
31.5	43.7
32.5	45.4
33.5	46.6
34.5	48.2
35.5	49.7
36.5	51.2
37.5	52.7
38.7	54.2
40	55.6
41.2	57.1
42.5	58.6
43.7	60.2
45	61.9
46.2	63.2
47.5	64.2
48.7	65.4
50	66.7
51.5	67.9
53	69.2
54.5	70.4
56	71.9
58	73.1
60	74.1
61.5	75.1
63	76.2
65	77.3
67	78.4
69	79.5
71	80.4
73	81.2
75	81.8
77.5	82.5
80	83
82.5	83.4
85	83.6
87.5	83.6
90	83.6
92.5	83.5
95	83.5
97.5	83.5
100	83.6
103	83.7
106	83.7
109	83.6
112	83.3
115	82.9
118	82.5
122	82.1
125	81.9
128	81.8
132	81.8
136	81.8
140	81.8
145	81.7
150	81.6
155	81.5
160	81.4
165	81.2
170	80.9
175	80.4
180	79.9
185	79.2
190	78.7
195	78.2
200	78.1
206	78.1
212	78.2
218	78
224	77.3
230	76.4
236	75.8
240	75.6
250	75.8
258	76.1
265	76.1
272	75.9
280	75.4
290	75
300	74.9
307	74.9
315	74.7
325	74.4
335	74.4
345	75
355	75.7
365	76
375	75.9
387	75.5
400	75.2
412	75.1
425	75.4
437	75.6
450	75.2
462	74.7
475	74.3
487	73.6
500	72.7
515	72.4
530	72
545	70.2
560	69.3
580	71.3
600	72.8
615	73.7
630	74.6
650	75.9
670	76.5
690	75.9
710	75
730	73.3
750	71.1
775	69
800	67.9
825	67
850	65.2
875	66.5
900	67.5
925	67.6
950	69.3
975	70.1
1000	71.2
1030	70.4
1060	70
1090	70.7
1120	71
1150	71.2
1180	69.1
1220	67.9
1250	63.8
1280	61.6
1320	61
1360	62.2
1400	62.2
1450	61.8
1500	62.6
1550	62.5
1600	61.7
1650	61.3
1700	62.4
1750	62.9
1800	62.6
1850	61.7
1900	60.3
1950	57.8
2000	57.5
2060	57.8
2120	59.5
2180	61.6
2240	63.7
2300	64.3
2360	64.6
2400	62.8
2500	60.4
2580	58.4
2650	53.4
2720	51.6
2800	56.1
2900	56.9
3000	54.2
3070	51.1
3150	55
3250	53.9
3350	51.1
3450	52.7
3550	53.2
3650	46.3
3750	51.5
3870	51.2
4000	53.2
4120	50.4
4250	51.9
4370	54.4
4500	52.4
4620	55.3
4750	53.7
4870	47.8
5000	51
5150	47.9
5300	51.7
5450	55
5600	55
5800	56.4
6000	55.3
6150	55
6300	54.4
6500	53.2
6700	53.3
6900	50.6
7100	47.6
7300	49.8
7500	54.6
7750	54.7
8000	52.3
8250	48
8500	47.9
8750	46.7
9000	47.7
9250	51.2
9500	53.2
9750	51
10000	45.7
10300	44.2
10600	43.1
10900	38.3
11200	39.3
11500	42.4
11800	44
12200	47.4
12500	45.9
12800	42.8
13200	47.1
13600	47.6
14000	45.4
14500	40.4
15000	40.5
15500	45.7
16000	47
16500	44.2
17000	43.8
17500	40.3
18000	36.6
18500	42.5
19000	42.1
19500	36.7
20000	35.2
20600	36.7
21200	38.5
21800	36.8
22400	32
