Frequency Spectrum for Input Signal

Data Shown:    DXR8 (YAMAHA)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 120°

Freq [Hz]	Signal Level [dBSPL]
22.4	9.5
23	10.7
23.6	12.2
24	14
25	15.9
25.8	17.8
26.5	19.7
27.2	21.6
28	23.5
29	25.3
30	27.2
30.7	29
31.5	31.6
32.5	33.7
33.5	35.2
34.5	37
35.5	39
36.5	40.8
37.5	42.7
38.7	44.6
40	46.5
41.2	48.3
42.5	50.1
43.7	51.9
45	54.2
46.2	55.8
47.5	57.2
48.7	58.9
50	60.6
51.5	62.3
53	64
54.5	65.7
56	67.8
58	69.6
60	71.1
61.5	72.6
63	74.1
65	75.5
67	76.7
69	77.9
71	78.9
73	79.5
75	80
77.5	80.5
80	80.8
82.5	80.9
85	81
87.5	80.9
90	80.8
92.5	80.8
95	80.6
97.5	80.6
100	80.5
103	80.5
106	80.5
109	80.6
112	80.6
115	80.5
118	80.4
122	80.4
125	80.4
128	80.4
132	80.5
136	80.7
140	80.8
145	80.8
150	80.6
155	80.2
160	79.8
165	79.5
170	79.3
175	79.2
180	79
185	78.9
190	78.9
195	79.1
200	79.5
206	79.6
212	79.5
218	79
224	78
230	77
236	75.9
240	75
250	74.6
258	74.4
265	74.4
272	74.4
280	74
290	73.3
300	72.8
307	72.7
315	73
325	73.1
335	73.3
345	73.9
355	74.9
365	75.5
375	75.7
387	75.4
400	75.2
412	75.3
425	75.4
437	75.2
450	74.7
462	74.6
475	74.2
487	73.4
500	73
515	73
530	72.6
545	71.2
560	70.8
580	71.9
600	73.2
615	74.4
630	75.3
650	75.7
670	74.7
690	71.9
710	69.2
730	69.4
750	70.9
775	71.8
800	72.4
825	72.1
850	72.5
875	72.5
900	71.5
925	69.6
950	67.3
975	67.7
1000	66.2
1030	60.7
1060	68.6
1090	70.3
1120	72.1
1150	72.2
1180	71.9
1220	72.1
1250	73.1
1280	73.2
1320	72.7
1360	72.9
1400	72.2
1450	71.3
1500	71.9
1550	71.8
1600	69.6
1650	69.8
1700	70.2
1750	69.2
1800	67.2
1850	65.9
1900	65.4
1950	65.8
2000	63.3
2060	58
2120	55.5
2180	58.8
2240	61.3
2300	64.4
2360	66.2
2400	66.8
2500	66.4
2580	63.6
2650	58
2720	59
2800	60.2
2900	60.5
3000	62.4
3070	62.9
3150	61
3250	57.4
3350	56.1
3450	53.2
3550	48.3
3650	52.5
3750	54.8
3870	57.9
4000	54.6
4120	55
4250	58.6
4370	61
4500	58.7
4620	57.6
4750	57.3
4870	54.3
5000	47.6
5150	48
5300	54.8
5450	55.5
5600	53.1
5800	59
6000	56.3
6150	53.5
6300	56.3
6500	49.2
6700	52.2
6900	49.6
7100	48
7300	53.6
7500	53.3
7750	53.2
8000	53.6
8250	52.6
8500	54.4
8750	50.8
9000	52
9250	49.6
9500	49.4
9750	47.5
10000	46.3
10300	47.7
10600	50.2
10900	53.7
11200	52.2
11500	49.9
11800	44.8
12200	42.7
12500	49
12800	49.7
13200	47.8
13600	45.1
14000	44.4
14500	43
15000	45.9
15500	43.4
16000	42.9
16500	41
17000	46.9
17500	39
18000	41.8
18500	43.2
19000	41.1
19500	40.1
20000	35.6
20600	33.8
21200	33.1
21800	34.2
22400	32.6
