Frequency Spectrum for Input Signal

Data Shown:    DXR8 (YAMAHA)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 80°  

Freq [Hz]	Signal Level [dBSPL]
22.4	9.2
23	10.3
23.6	11.9
24	13.8
25	15.7
25.8	17.7
26.5	19.6
27.2	21.5
28	23.4
29	25.3
30	27.2
30.7	29.1
31.5	31.7
32.5	33.8
33.5	35.3
34.5	37.2
35.5	39.1
36.5	41
37.5	42.8
38.7	44.7
40	46.5
41.2	48.3
42.5	50.1
43.7	51.9
45	54.1
46.2	55.7
47.5	57.1
48.7	58.7
50	60.4
51.5	62.1
53	63.8
54.5	65.5
56	67.7
58	69.5
60	71
61.5	72.5
63	74.1
65	75.5
67	76.8
69	78
71	79
73	79.7
75	80.3
77.5	80.7
80	81
82.5	81.2
85	81.2
87.5	81.2
90	81.1
92.5	81
95	80.8
97.5	80.7
100	80.7
103	80.7
106	80.7
109	80.7
112	80.7
115	80.6
118	80.6
122	80.5
125	80.5
128	80.6
132	80.8
136	81
140	81.1
145	81.1
150	80.8
155	80.4
160	80
165	79.6
170	79.3
175	79
180	78.8
185	78.6
190	78.7
195	78.9
200	79.1
206	79
212	78.7
218	78
224	77.2
230	76.6
236	76.5
240	76.4
250	76.2
258	75.9
265	75.8
272	76.1
280	76.6
290	77.1
300	77.5
307	77.9
315	78.3
325	78.3
335	78.2
345	78.4
355	78.7
365	79
375	79.1
387	78.9
400	78.6
412	78.4
425	78.1
437	77.5
450	76.7
462	75.6
475	74.7
487	74.3
500	74.5
515	75.1
530	75.7
545	76
560	76
580	76.2
600	75.8
615	74.2
630	71.8
650	69.7
670	72
690	74.6
710	75.3
730	75.5
750	75.3
775	75
800	74.8
825	75.2
850	75.3
875	74.4
900	73.2
925	72.4
950	70.4
975	67.4
1000	66.3
1030	62.9
1060	69.9
1090	70.6
1120	71.6
1150	74
1180	75.5
1220	76.7
1250	77.5
1280	78.8
1320	78.9
1360	79.8
1400	78.8
1450	77.2
1500	76.8
1550	75
1600	72.6
1650	73
1700	73.3
1750	71.4
1800	68.4
1850	67.6
1900	67.6
1950	67.4
2000	65
2060	58.5
2120	59.1
2180	65.6
2240	68.4
2300	69.9
2360	71
2400	71.6
2500	70.3
2580	66.1
2650	65.2
2720	65.9
2800	65.1
2900	62.7
3000	63.3
3070	63.1
3150	63.2
3250	63.2
3350	62.6
3450	59.1
3550	58.4
3650	61.9
3750	60.7
3870	63.8
4000	62.8
4120	64.1
4250	66.4
4370	68.5
4500	65.2
4620	60.5
4750	62.6
4870	60.5
5000	55.6
5150	51.5
5300	62.3
5450	65
5600	58.9
5800	69.2
6000	70.1
6150	61.3
6300	67.1
6500	63.4
6700	57.3
6900	58.6
7100	57.3
7300	53.8
7500	59.6
7750	55.2
8000	64.2
8250	58.4
8500	62.5
8750	59.7
9000	59.9
9250	57.9
9500	55.5
9750	52.3
10000	53.9
10300	60.6
10600	61.9
10900	63.2
11200	61.8
11500	61.3
11800	54.4
12200	55.1
12500	60.1
12800	62
13200	61
13600	59
14000	54
14500	49.6
15000	55.2
15500	55.2
16000	58.6
16500	56
17000	60.6
17500	54.4
18000	56.8
18500	57.8
19000	56.1
19500	53.4
20000	48.2
20600	52.6
21200	54.5
21800	45.4
22400	44.6
