Frequency Spectrum for Input Signal

Data Shown:    DZR10 H90°xV60° (YAMAHA)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 40°

Freq [Hz]	Signal Level [dBSPL]
22.4	29.5
23	33.1
23.6	36.6
24	40.1
25	43.6
25.8	47.1
26.5	50.3
27.2	52.9
28	55.9
29	59
30	61.1
30.7	62.8
31.5	64.4
32.5	66.3
33.5	68.5
34.5	70
35.5	71.7
36.5	73.6
37.5	75.3
38.7	77
40	78.7
41.2	80.3
42.5	81.8
43.7	83.5
45	85.1
46.2	86.3
47.5	87.7
48.7	89.2
50	90.2
51.5	91.4
53	92.6
54.5	93.4
56	94.1
58	94.9
60	95.8
61.5	96.5
63	97
65	97.5
67	98.1
69	98.6
71	99.2
73	99.7
75	100.2
77.5	100.8
80	101.5
82.5	102
85	102.2
87.5	102.3
90	102.3
92.5	102.2
95	101.9
97.5	101.6
100	101.3
103	101
106	100.7
109	100.4
112	100.1
115	99.8
118	99.5
122	99.1
125	98.6
128	98.1
132	97.6
136	97.2
140	96.9
145	96.8
150	96.8
155	96.8
160	96.9
165	97
170	97.1
175	97.1
180	97.2
185	97.1
190	97
195	96.8
200	96.5
206	96.2
212	95.8
218	95.3
224	94.8
230	94.3
236	93.9
240	93.7
250	93.8
258	94.2
265	94.7
272	95.6
280	96.6
290	97.5
300	98.4
307	99.1
315	99.6
325	99.9
335	100.1
345	100.2
355	100.2
365	100.1
375	99.9
387	99.8
400	99.8
412	99.8
425	99.6
437	99.2
450	98.5
462	97.6
475	96.7
487	96
500	95.7
515	95.7
530	96.1
545	96.8
560	97.5
580	98.1
600	98.5
615	98.5
630	98.3
650	98
670	98
690	98.3
710	98.8
730	99.2
750	99.4
775	99.5
800	99.3
825	99.1
850	98.8
875	98.3
900	97.4
925	96.3
950	95
975	94
1000	93.5
1030	93.7
1060	94.4
1090	95.1
1120	95.6
1150	95.7
1180	95.6
1220	95.2
1250	94.6
1280	93.3
1320	91.6
1360	89.7
1400	88.1
1450	87.3
1500	87.5
1550	88.6
1600	90.6
1650	92.6
1700	94.5
1750	96.2
1800	97.4
1850	98.3
1900	98.7
1950	98.6
2000	98.2
2060	97.7
2120	97.4
2180	97.1
2240	96.6
2300	95.8
2360	94.8
2400	93.8
2500	92.6
2580	91.1
2650	89.5
2720	87.9
2800	86.8
2900	86.4
3000	86.7
3070	87.5
3150	88.9
3250	90.3
3350	91.6
3450	92.6
3550	93.3
3650	93.9
3750	94.5
3870	95
4000	95.4
4120	95.4
4250	95.2
4370	95
4500	94.9
4620	95
4750	95.3
4870	95.4
5000	95.5
5150	95.4
5300	95.1
5450	94.8
5600	94.4
5800	94.1
6000	93.9
6150	93.5
6300	93
6500	92.2
6700	91.3
6900	90.6
7100	90.3
7300	90.6
7500	91.6
7750	92.8
8000	93.7
8250	94
8500	93.4
8750	92.1
9000	90.6
9250	89.6
9500	89.3
9750	89.6
10000	90.6
10300	91.7
10600	92.8
10900	93.4
11200	93.3
11500	92.4
11800	90.7
12200	89.1
12500	88.1
12800	88
13200	88.6
13600	89.5
14000	90.5
14500	91.2
15000	91.9
15500	92.1
16000	91.5
16500	90.6
17000	89.1
17500	86.9
18000	84.5
18500	81.5
19000	78.4
19500	76.1
20000	74.6
20600	73.8
21200	73.6
21800	73.4
22400	73.2
