Frequency Spectrum for Input Signal

Data Shown:    DZR15 H90°xV50° (YAMAHA)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 100°  

Freq [Hz]	Signal Level [dBSPL]
22.4	71.7
23	73.3
23.6	74.9
24	76.5
25	78
25.8	79.6
26.5	81.2
27.2	82.6
28	84.4
29	86.5
30	88
30.7	89.1
31.5	90.2
32.5	91.5
33.5	92.9
34.5	93.9
35.5	94.8
36.5	95.9
37.5	96.7
38.7	97.5
40	98.1
41.2	98.7
42.5	99.2
43.7	99.8
45	100.2
46.2	100.6
47.5	101.1
48.7	101.7
50	102.1
51.5	102.7
53	103.3
54.5	103.8
56	104.2
58	104.7
60	105.2
61.5	105.6
63	105.8
65	106
67	106.2
69	106.3
71	106.4
73	106.4
75	106.5
77.5	106.6
80	106.8
82.5	106.9
85	107
87.5	106.9
90	106.8
92.5	106.6
95	106.4
97.5	106.1
100	105.8
103	105.4
106	105.1
109	104.7
112	104.4
115	104
118	103.5
122	102.9
125	102.3
128	101.5
132	100.7
136	99.9
140	99.3
145	98.8
150	98.6
155	98.5
160	98.5
165	98.6
170	98.8
175	99
180	99.1
185	99.2
190	99.2
195	98.8
200	98.3
206	97.6
212	96.9
218	96.5
224	96.3
230	96.3
236	96.6
240	96.9
250	97.2
258	97.6
265	98
272	98.6
280	99.3
290	100
300	100.6
307	101.1
315	101.4
325	101.5
335	101.2
345	100.7
355	99.9
365	99
375	98.1
387	97.4
400	96.9
412	96.2
425	95.3
437	94.4
450	93.4
462	92.6
475	92.2
487	92.4
500	93
515	93.4
530	93.5
545	93.1
560	92.6
580	92.3
600	92.5
615	93
630	93.7
650	94
670	93.9
690	93.4
710	92.5
730	91.3
750	90.2
775	89.2
800	88.4
825	88.1
850	88.2
875	88.9
900	90
925	91
950	91.4
975	91.1
1000	90.2
1030	88.9
1060	87.7
1090	86.3
1120	85
1150	84.2
1180	83.6
1220	83.7
1250	84.3
1280	84.8
1320	85.1
1360	84.5
1400	83.1
1450	81.2
1500	79.8
1550	79
1600	79
1650	79.4
1700	79.9
1750	80.2
1800	80.7
1850	81.2
1900	81.8
1950	82.2
2000	82.6
2060	83
2120	83.1
2180	83.2
2240	83.1
2300	82.8
2360	83
2400	83.4
2500	83.9
2580	84.2
2650	84.1
2720	83.8
2800	83.3
2900	83
3000	83.2
3070	83.5
3150	84.3
3250	85.2
3350	86.2
3450	86.9
3550	87.1
3650	86.8
3750	86
3870	85
4000	84.2
4120	83.4
4250	82.6
4370	81.7
4500	81
4620	80.7
4750	81
4870	81.9
5000	82.8
5150	83.3
5300	83
5450	81.9
5600	80.9
5800	80.2
6000	80.6
6150	81.4
6300	82
6500	82.1
6700	81.2
6900	80
7100	78.7
7300	78
7500	78.1
7750	78.4
8000	78.5
8250	78.1
8500	77.3
8750	76.6
9000	76.7
9250	76.9
9500	76.8
9750	76.4
10000	75.5
10300	75
10600	75
10900	74.8
11200	74.4
11500	72.8
11800	70.5
12200	68.1
12500	66
12800	64.8
13200	64.7
13600	65.1
14000	65.7
14500	66
15000	66
15500	66.4
16000	66.7
16500	66.3
17000	65.7
17500	63.7
18000	60.8
18500	58.2
19000	55
19500	52.3
20000	50.3
20600	48.5
21200	47.3
21800	46.5
22400	45.7
