"CEA2034"
"On Axis"		"Listening Window"		"Early Reflections"		"Sound Power"		"Sound Power DI"		"Early Reflections DI"		"DI offset"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	56.0893	20.5078	56.2143	20.5078	57.419	20.5078	59.0741	20.5078	47.1196	20.5078	48.7746	20.5078	49.9794
21.9727	61.9796	21.9727	62.0489	21.9727	63.0524	21.9727	64.5978	21.9727	47.4305	21.9727	48.976	21.9727	49.9794
23.4375	62.981	23.4375	62.9049	23.4375	62.7614	23.4375	63.2312	23.4375	49.6531	23.4375	50.1229	23.4375	49.9794
24.9023	63.8207	24.9023	63.794	24.9023	64.6573	24.9023	66.6886	24.9023	47.0848	24.9023	49.1161	24.9023	49.9794
26.3672	66.477	26.3672	66.5398	26.3672	67.9851	26.3672	70.3194	26.3672	46.1998	26.3672	48.5341	26.3672	49.9794
27.832	69.6401	27.832	69.7013	27.832	70.9396	27.832	73.0219	27.832	46.6588	27.832	48.7411	27.832	49.9794
29.2969	73.8386	29.2969	73.8986	29.2969	74.8491	29.2969	76.4832	29.2969	47.3948	29.2969	49.0289	29.2969	49.9794
30.7617	76.5111	30.7617	76.5719	30.7617	77.4759	30.7617	79.0213	30.7617	47.5299	30.7617	49.0754	30.7617	49.9794
32.2266	79.213	32.2266	79.2684	32.2266	80.0278	32.2266	81.3488	32.2266	47.8991	32.2266	49.22	32.2266	49.9794
33.6914	81.5712	33.6914	81.6226	33.6914	82.2962	33.6914	83.4819	33.6914	48.1201	33.6914	49.3058	33.6914	49.9794
35.1562	83.418	35.1562	83.4682	35.1562	84.1059	35.1562	85.2383	35.1562	48.2093	35.1562	49.3417	35.1562	49.9794
36.6211	85.2539	36.6211	85.3034	36.6211	85.898	36.6211	86.9469	36.6211	48.3359	36.6211	49.3848	36.6211	49.9794
38.0859	86.8533	38.0859	86.9014	38.0859	87.4472	38.0859	88.4046	38.0859	48.4762	38.0859	49.4337	38.0859	49.9794
39.5508	88.3358	39.5508	88.3805	39.5508	88.8686	39.5508	89.724	39.5508	48.636	39.5508	49.4914	39.5508	49.9794
41.0156	89.4495	41.0156	89.4947	41.0156	89.9326	41.0156	90.6728	41.0156	48.8013	41.0156	49.5415	41.0156	49.9794
42.4805	90.404	42.4805	90.4446	42.4805	90.8442	42.4805	91.5372	42.4805	48.8868	42.4805	49.5798	42.4805	49.9794
43.9453	91.2459	43.9453	91.2864	43.9453	91.6684	43.9453	92.3225	43.9453	48.9432	43.9453	49.5973	43.9453	49.9794
45.4102	91.961	45.4102	91.9992	45.4102	92.3486	45.4102	92.943	45.4102	49.0356	45.4102	49.63	45.4102	49.9794
46.875	92.5306	46.875	92.5669	46.875	92.8864	46.875	93.4223	46.875	49.124	46.875	49.66	46.875	49.9794
48.3398	92.9336	48.3398	92.9672	48.3398	93.2568	48.3398	93.7454	48.3398	49.2012	48.3398	49.6898	48.3398	49.9794
51.2695	93.2152	51.2695	93.2481	51.2695	93.5188	51.2695	93.9717	51.2695	49.2558	51.2695	49.7087	51.2695	49.9794
52.7344	93.244	52.7344	93.2773	52.7344	93.5427	52.7344	93.9791	52.7344	49.2777	52.7344	49.714	52.7344	49.9794
54.1992	93.2551	54.1992	93.2863	54.1992	93.523	54.1992	93.9043	54.1992	49.3614	54.1992	49.7427	54.1992	49.9794
55.6641	93.3367	55.6641	93.3617	55.6641	93.5424	55.6641	93.8331	55.6641	49.508	55.6641	49.7987	55.6641	49.9794
58.5938	93.2521	58.5938	93.2744	58.5938	93.4228	58.5938	93.6564	58.5938	49.5975	58.5938	49.831	58.5938	49.9794
60.0586	93.2296	60.0586	93.2511	60.0586	93.3902	60.0586	93.6086	60.0586	49.6219	60.0586	49.8403	60.0586	49.9794
62.9883	93.1325	62.9883	93.1536	62.9883	93.2829	62.9883	93.4764	62.9883	49.6566	62.9883	49.85	62.9883	49.9794
64.4531	93.156	64.4531	93.1779	64.4531	93.3078	64.4531	93.4991	64.4531	49.6581	64.4531	49.8495	64.4531	49.9794
67.3828	92.9625	67.3828	92.9869	67.3828	93.1284	67.3828	93.3344	67.3828	49.6319	67.3828	49.8379	67.3828	49.9794
68.8477	92.8907	68.8477	92.9169	68.8477	93.0746	68.8477	93.3066	68.8477	49.5897	68.8477	49.8217	68.8477	49.9794
71.7773	92.9937	71.7773	93.0161	71.7773	93.1514	71.7773	93.3556	71.7773	49.6399	71.7773	49.8441	71.7773	49.9794
74.707	93.1446	74.707	93.1624	74.707	93.2605	74.707	93.4063	74.707	49.7355	74.707	49.8813	74.707	49.9794
77.6367	93.169	77.6367	93.1857	77.6367	93.2697	77.6367	93.3891	77.6367	49.7759	77.6367	49.8954	77.6367	49.9794
79.1016	93.2551	79.1016	93.2688	79.1016	93.3273	79.1016	93.4063	79.1016	49.8419	79.1016	49.9209	79.1016	49.9794
82.0312	93.3047	82.0312	93.3145	82.0312	93.3301	82.0312	93.3288	82.0312	49.965	82.0312	49.9637	82.0312	49.9794
84.9609	93.4076	84.9609	93.4195	84.9609	93.4443	84.9609	93.4503	84.9609	49.9486	84.9609	49.9546	84.9609	49.9794
87.8906	93.5759	87.8906	93.5782	87.8906	93.5614	87.8906	93.5393	87.8906	50.0183	87.8906	49.9962	87.8906	49.9794
90.8203	93.6731	90.8203	93.6772	90.8203	93.6766	90.8203	93.6876	90.8203	49.969	90.8203	49.9799	90.8203	49.9794
95.2148	94.0001	95.2148	93.9979	95.2148	93.9357	95.2148	93.8334	95.2148	50.1439	95.2148	50.0416	95.2148	49.9794
98.1445	94.0048	98.1445	94.0051	98.1445	93.9698	98.1445	93.9227	98.1445	50.0617	98.1445	50.0146	98.1445	49.9794
101.074	93.9594	101.074	93.958	101.074	93.9124	101.074	93.8591	101.074	50.0783	101.074	50.025	101.074	49.9794
105.469	94.0578	105.469	94.0521	105.469	93.9759	105.469	93.8594	105.469	50.1722	105.469	50.0557	105.469	49.9794
